 ,Area,X,Y,Perim.
1,115,9.926,19.500,48.184
2,192,36.766,30.266,72.083
3,155,296.429,43.113,64.326
4,152,313.474,58.454,64.669
5,167,203.817,66.530,64.083
6,111,231.320,63.419,45.941
7,116,315.405,83.750,50.770
8,119,52.861,91.013,47.113
9,161,372.972,94.556,55.012
10,120,48.633,134.200,47.355
11,119,114.366,133.298,54.426
12,147,319.840,163.765,66.669
13,108,85.722,163.704,52.184
14,158,362.241,175.241,51.113
15,121,177.269,192.293,64.426
16,171,333.237,214.173,63.113
17,152,275.803,220.809,53.598
18,255,157.982,223.986,81.154
19,121,247.913,221.806,59.012
20,142,51.331,222.718,47.456
21,182,304.269,227.165,74.912
22,113,394.580,227.004,51.841
23,141,191.103,233.067,51.941
24,123,160.224,247.459,45.456
25,104,234.587,259.279,41.941
26,158,357.165,269.247,52.527
27,155,275.713,269.726,59.841
28,118,343.856,275.763,55.941
29,131,138.286,279.859,49.941
30,104,124.462,284.846,42.284
31,144,240.826,290.896,63.497
32,173,13.199,293.217,53.598
33,115,47.370,289.674,52.527
34,109,303.307,301.931,47.698
35,104,376.288,304.308,49.941
36,132,151.659,305.447,57.841
37,166,237.627,308.482,65.255
38,197,186.099,310.398,73.497
39,207,166.935,313.592,73.154
40,128,94.977,316.602,47.941
41,129,30.826,324.407,49.355
42,102,201.392,329.167,49.355
43,154,63.870,331.208,59.841
44,161,21.239,334.860,54.184
45,104,90.231,348.904,49.355
46,218,269.468,353.523,75.740
47,175,141.791,356.877,63.255
48,121,280.202,382.963,55.598
49,177,127.472,389.483,64.326
50,107,156.715,390.238,43.698
51,130,373.385,396.262,55.012
52,120,252.367,397.692,47.012
